Exercise,Set,Rep,Weight,Metric,Set RPE,Tags,Workout Start Time,Rest Time,Avg Velocity (m/s),Range of Motion (mm),Peak Velocity (m/s),Peak Velocity Location (%),Duration of rep (sec)
null,1,1,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",0.66,415,1.24,197,0.631
null,1,2,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",1.40,573,2.39,330,0.41
null,1,3,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",1.24,716,1.94,351,0.58
null,1,4,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",0.29,374,0.63,285,1.292
null,1,5,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",0.31,256,0.66,166,0.828
null,1,6,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",0.67,726,1.20,404,1.082
null,1,7,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",0.24,1006,0.41,739,4.204
null,1,8,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",0.25,970,0.74,719,3.828
"deadlift",1,1,"70","kgs","","conventional,belt","30/12/2020, 12:53:09","00:00:00",0.63,562,1.61,362,0.896
"deadlift",2,1,"80","kgs","","conventional,belt","30/12/2020, 12:53:09","00:01:29.2",0.50,569,1.41,428,1.14
"deadlift",3,1,"90","kgs","","conventional,belt","30/12/2020, 12:53:09","00:01:59.1",0.49,566,1.26,419,1.147
"deadlift",4,1,"100","kgs","","belt,conventional","30/12/2020, 12:53:09","00:01:24.4",0.64,562,1.24,426,0.873
"deadlift",5,1,"110","kgs","","conventional,belt,straps","30/12/2020, 12:53:09","00:02:52.8",0.48,581,1.20,438,1.215
"deadlift",6,1,"120","kgs","","conventional,belt,straps","30/12/2020, 12:53:09","00:01:20.5",0.55,562,1.07,427,1.023
"deadlift",7,1,"130","kgs","","conventional,belt,straps","30/12/2020, 12:53:09","00:01:54.2",0.47,553,0.90,453,1.188
"deadlift",1,1,"140","kgs","","conventional,belt,straps","30/12/2020, 13:06:04","00:00:00",0.21,543,0.71,458,2.524
"deadlift",2,1,"150","kgs","","conventional,belt,straps","30/12/2020, 13:06:04","00:02:18.3",0.30,529,0.56,457,1.776
"deadlift",3,1,"160","kgs","","conventional,belt,straps","30/12/2020, 13:06:04","00:07:42.7",0.15,522,0.44,453,3.38
"overhead press",1,1,"30","kgs","","clean","30/12/2020, 13:06:04","00:10:59.5",0.89,601,1.29,384,0.675
"overhead press",2,1,"35","kgs","","clean","30/12/2020, 13:06:04","00:01:15.8",0.84,616,1.12,290,0.733
"overhead press",3,1,"40","kgs","","clean","30/12/2020, 13:06:04","00:02:19.0",0.71,627,0.97,215,0.886
"overhead press",4,1,"45","kgs","","clean","30/12/2020, 13:06:04","00:02:52.2",0.55,623,0.82,168,1.127
"overhead press",5,1,"50","kgs","","clean","30/12/2020, 13:06:04","00:02:54.3",0.37,601,0.69,120,1.615
"overhead press",6,1,"55","kgs","","clean","30/12/2020, 13:06:04","00:03:34.5",0.22,573,0.58,92,2.552
"overhead press",7,1,"57,5","kgs","","clean,bug,rep split","30/12/2020, 13:06:04","00:05:03.9",0.21,305,0.57,91,1.439
"overhead press",7,2,"57,5","kgs","","clean,bug,rep split","30/12/2020, 13:06:04","00:05:03.9",0.07,294,0.17,182,4.229
"deadlift",1,1,"70","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:00:00",0.59,559,1.58,383,0.954
"deadlift",2,1,"80","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:01:03.0",0.50,545,1.36,391,1.086
"deadlift",3,1,"90","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:01:54.0",0.48,568,1.34,387,1.184
"deadlift",4,1,"100","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:01:51.4",0.50,559,1.21,397,1.112
"deadlift",5,1,"110","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:02:07.8",0.60,558,1.08,453,0.928
"deadlift",6,1,"120","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:01:37.4",0.35,550,0.99,449,1.562
"deadlift",7,1,"130","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:01:30.9",0.31,547,0.81,456,1.745
"deadlift",8,1,"140","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:03:15.3",0.39,525,0.73,448,1.363
"deadlift",9,1,"150","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:02:39.3",0.30,513,0.60,403,1.696
"deadlift",10,1,"160","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:02:53.7",0.24,502,0.43,408,2.125
"deadlift",11,1,"170","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:03:44.7",0.13,494,0.27,437,3.755
"deadlift",12,1,"140","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:03:52.7",0.23,522,0.66,409,2.22
"deadlift",12,2,"140","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:03:52.7",0.20,512,0.57,349,2.498
"deadlift",12,3,"140","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:03:52.7",0.10,502,0.49,352,4.745
"deadlift",13,1,"140","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:00:55.2",0.24,516,0.58,351,2.156
"deadlift",13,2,"140","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:00:55.2",0.21,509,0.53,397,2.417
"deadlift",14,1,"140","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:00:54.2",0.30,509,0.56,397,1.716
"deadlift",15,1,"140","kgs","","conventional,belt,straps","03/01/2021, 12:40:44","00:00:54.4",0.27,509,0.53,393,1.882
"overhead press",1,1,"30","kgs","","clean","03/01/2021, 12:40:44","00:04:52.4",0.94,615,1.35,304,0.652
"overhead press",1,2,"30","kgs","","clean","03/01/2021, 12:40:44","00:04:52.4",0.95,630,1.39,294,0.665
"overhead press",1,3,"30","kgs","","clean","03/01/2021, 12:40:44","00:04:52.4",0.93,630,1.33,295,0.675
"overhead press",2,1,"35","kgs","","clean","03/01/2021, 12:40:44","00:02:04.1",0.89,632,1.19,299,0.713
"overhead press",2,2,"35","kgs","","clean","03/01/2021, 12:40:44","00:02:04.1",0.81,641,1.15,265,0.786
"overhead press",3,1,"40","kgs","","clean","03/01/2021, 12:40:44","00:01:28.8",0.74,630,1.01,179,0.853
"overhead press",4,1,"45","kgs","","clean","03/01/2021, 12:40:44","00:01:09.4",0.55,620,0.84,151,1.123
"overhead press",5,1,"50","kgs","","clean","03/01/2021, 12:40:44","00:01:36.8",0.45,597,0.72,130,1.335
"overhead press",6,1,"55","kgs","","clean","03/01/2021, 12:40:44","00:02:47.6",0.29,596,0.63,113,2.046
"overhead press",7,1,"57,5","kgs","","clean,bug,rep split","03/01/2021, 12:40:44","00:03:28.0",0.26,300,0.57,100,1.161
"overhead press",7,2,"57,5","kgs","","clean,bug,rep split","03/01/2021, 12:40:44","00:03:28.0",0.10,302,0.17,222,2.897
"overhead press",8,1,"45","kgs","","clean","03/01/2021, 12:40:44","00:04:34.1",0.46,606,0.75,149,1.316
"overhead press",8,2,"45","kgs","","clean","03/01/2021, 12:40:44","00:04:34.1",0.31,598,0.70,123,1.94
"overhead press",8,3,"45","kgs","","clean","03/01/2021, 12:40:44","00:04:34.1",0.31,619,0.65,125,1.984
"overhead press",9,1,"45","kgs","","clean","03/01/2021, 12:40:44","00:00:46.2",0.46,589,0.73,118,1.283
"overhead press",9,2,"45","kgs","","clean","03/01/2021, 12:40:44","00:00:46.2",0.35,615,0.68,132,1.772
"overhead press",10,1,"45","kgs","","clean","03/01/2021, 12:40:44","00:00:54.3",0.44,597,0.72,127,1.368
"overhead press",11,1,"45","kgs","","clean","03/01/2021, 12:40:44","00:01:25.4",0.45,601,0.75,141,1.335
null,1,1,null,"kgs",null,"","05/01/2021, 10:56:06","00:00:00",0.80,1153,1.66,519,1.449
"squat",1,1,"20","kgs","","high bar","05/01/2021, 10:56:06","00:01:04.5",1.13,663,1.99,410,0.589
"squat",1,2,"20","kgs","","high bar","05/01/2021, 10:56:06","00:01:04.5",1.24,698,2.08,467,0.561
"squat",1,3,"20","kgs","","high bar","05/01/2021, 10:56:06","00:01:04.5",1.20,717,2.07,450,0.597
"squat",2,1,"40","kgs","","high bar","05/01/2021, 10:56:06","00:02:11.1",1.07,656,1.71,472,0.615
"squat",2,2,"40","kgs","","high bar","05/01/2021, 10:56:06","00:02:11.1",1.07,675,1.65,463,0.632
"squat",2,3,"40","kgs","","high bar","05/01/2021, 10:56:06","00:02:11.1",1.06,673,1.66,489,0.635
"squat",3,1,"60","kgs","","high bar","05/01/2021, 10:56:06","00:02:02.7",0.92,653,1.52,507,0.71
"squat",3,2,"60","kgs","","high bar","05/01/2021, 10:56:06","00:02:02.7",0.85,669,1.33,547,0.787
"squat",3,3,"60","kgs","","high bar","05/01/2021, 10:56:06","00:02:02.7",0.86,664,1.39,539,0.769
"squat",4,1,"80","kgs","","high bar","05/01/2021, 10:56:06","00:01:16.6",0.72,640,1.21,531,0.888
"squat",4,2,"80","kgs","","high bar","05/01/2021, 10:56:06","00:01:16.6",0.74,685,1.26,576,0.93
"squat",4,3,"80","kgs","","high bar","05/01/2021, 10:56:06","00:01:16.6",0.70,673,1.23,565,0.958
"squat",5,1,"100","kgs","","high bar","05/01/2021, 10:56:06","00:01:38.0",0.56,659,1.14,567,1.181
"squat",6,1,"110","kgs","","high bar","05/01/2021, 10:56:06","00:01:33.3",0.46,662,1.07,578,1.425
"squat",7,1,"120","kgs","","high bar","05/01/2021, 10:56:06","00:03:23.8",0.38,660,1.02,581,1.75
"squat",8,1,"130","kgs","","high bar","05/01/2021, 10:56:06","00:02:31.0",0.23,645,0.84,578,2.841
"squat",9,1,"100","kgs","","high bar","05/01/2021, 10:56:06","00:05:58.3",0.52,660,1.12,557,1.278
"squat",9,2,"100","kgs","","high bar","05/01/2021, 10:56:06","00:05:58.3",0.48,652,0.90,566,1.349
"squat",9,3,"100","kgs","","high bar","05/01/2021, 10:56:06","00:05:58.3",0.43,673,0.81,582,1.555
"squat",9,4,"100","kgs","","high bar","05/01/2021, 10:56:06","00:05:58.3",0.39,660,0.77,571,1.694
"squat",9,5,"100","kgs","","high bar","05/01/2021, 10:56:06","00:05:58.3",0.35,658,0.63,587,1.888
"squat",9,6,"100","kgs","","high bar","05/01/2021, 10:56:06","00:05:58.3",0.33,673,0.79,597,2.058
"squat",10,1,"100","kgs","","high bar","05/01/2021, 10:56:06","00:00:56.7",0.35,513,0.84,423,1.482
